date,leverage_unscaled,leverage_monthly,isPartial,scale,leverage
2011-07-30,34,73.0,,0.73,24.82
2011-07-31,41,73.0,,0.73,29.93
2011-08-01,100,78.0,False,0.78,78.0
2011-08-02,57,78.0,,0.78,44.46
2011-08-03,32,78.0,,0.78,24.96
2011-08-04,54,78.0,,0.78,42.120000000000005
2011-08-05,34,78.0,,0.78,26.52
2011-08-06,40,78.0,,0.78,31.200000000000003
2011-08-07,64,78.0,,0.78,49.92
2011-08-08,60,78.0,,0.78,46.800000000000004
2011-08-09,58,78.0,,0.78,45.24
2011-08-10,34,78.0,,0.78,26.52
2011-08-11,58,78.0,,0.78,45.24
2011-08-12,34,78.0,,0.78,26.52
2011-08-13,37,78.0,,0.78,28.86
2011-08-14,61,78.0,,0.78,47.58
2011-08-15,96,78.0,,0.78,74.88
2011-08-16,57,78.0,,0.78,44.46
2011-08-17,44,78.0,,0.78,34.32
2011-08-18,53,78.0,,0.78,41.34
2011-08-19,52,78.0,,0.78,40.56
2011-08-20,46,78.0,,0.78,35.88
2011-08-21,89,78.0,,0.78,69.42
2011-08-22,77,78.0,,0.78,60.06
2011-08-23,44,78.0,,0.78,34.32
2011-08-24,66,78.0,,0.78,51.480000000000004
